file,m,j,d,p,i,guan_solution,guan_optimal,guan_time,guangap,guanbuild_time,guan_solution_time,tbased2_solution,tbased2_optimal,tbased2_time,tbased2gap,tbased2build_time,tbased2_solution_time,cp_limit1s_solution,cp_limit1s_optimal,cp_limit1s_time,cp_limit2s_solution,cp_limit2s_optimal,cp_limit2s_time,cp_limit5s_solution,cp_limit5s_optimal,cp_limit5s_time,cp_limit10s_solution,cp_limit10s_optimal,cp_limit10s_time,cp_limit20s_solution,cp_limit20s_optimal,cp_limit20s_time
m15j50d20p20_5.csv.out,15,50,20,20,5,47,0,10.806999921798706,0.5635918449246069,0.7339999675750732,10.0729999542,37,0,2112.848000049591,0.030060588910181693,298.4119999408722,1814.43600011,42,0,1.013,39,0,2.031,39,0,5.084,38,0,10.173,38,0,20.432
m15j50d20p20_6.csv.out,15,50,20,20,6,47,0,10.837000131607056,0.6805749018720791,0.746999979019165,10.0900001526,36,1,781.8540000915527,0.0,326.4909999370575,455.363000154,40,0,1.032,39,0,2.06,37,0,5.102,37,0,10.19,37,0,20.302
m15j50d20p20_7.csv.out,15,50,20,20,7,47,0,10.831000089645386,0.6791449217167401,0.7410001754760742,10.0899999142,36,0,2125.7419998645782,0.054326509787258066,309.8890001773834,1815.85299969,38,0,0.999,38,0,2.07,37,0,5.039,37,0,10.328,36,0,20.188
m15j50d20p20_8.csv.out,15,50,20,20,8,47,0,10.839999914169312,0.6794829310030004,0.7300000190734863,10.1099998951,48,0,2126.723000049591,0.22416666666619944,309.8619999885559,1816.86100006,40,0,1.011,40,0,2.035,39,0,5.119,39,0,10.106,39,0,20.434
m15j50d20p20_9.csv.out,15,50,20,20,9,49,0,10.818000078201294,0.7138118929149136,0.7360000610351562,10.0820000172,49,0,2098.481999874115,0.2991076950254515,282.7699999809265,1815.71199989,39,0,1.01,39,0,2.033,38,0,5.126,38,0,10.086,37,0,20.424
m15j50d20p40_0.csv.out,15,50,20,40,0,48,0,10.819000005722046,0.6545983008729583,0.7439999580383301,10.0750000477,49,0,2588.447000026703,0.9999999999979592,754.5139999389648,1833.93300009,43,0,1.015,43,0,2.017,42,0,5.074,42,0,10.096,41,0,20.526
m15j50d20p40_1.csv.out,15,50,20,40,1,48,0,10.806999921798706,0.8685047579689998,0.7170000076293945,10.0899999142,49,0,3166.385999917984,0.9999999999979592,978.061999797821,2188.32400012,43,0,1.06,43,0,2.015,42,0,5.038,41,0,10.175,41,0,20.398
m15j50d20p40_2.csv.out,15,50,20,40,2,49,0,10.82099986076355,0.6122448979579342,0.7330000400543213,10.0879998207,48,0,4276.809000015259,0.225520833332864,834.8450000286102,3441.96399999,40,0,1.014,40,0,2.032,40,0,5.074,40,0,10.327,40,0,20.472
m15j50d20p40_3.csv.out,15,50,20,40,3,49,0,10.818000078201294,0.6311963985181558,0.7330000400543213,10.0850000381,49,0,3063.2999999523163,0.9999999999979592,649.4869999885559,2413.81299996,42,0,1.066,41,0,2.03,39,0,5.037,39,0,10.079,39,0,20.363
m15j50d20p40_4.csv.out,15,50,20,40,4,49,0,10.818999767303467,0.7099291931387344,0.744999885559082,10.0739998817,49,0,3023.8250000476837,0.9999999999979592,887.8050000667572,2136.01999998,42,0,1.045,42,0,2.038,41,0,5.144,41,0,10.189,41,0,20.312
m15j50d20p40_5.csv.out,15,50,20,40,5,47,0,10.82699990272522,0.783579176957946,0.7420001029968262,10.0849997997,48,0,2638.9670000076294,0.9999999999979167,658.9639999866486,1980.00300002,42,0,1.017,42,0,2.029,40,0,5.159,40,0,10.245,39,0,20.617
m15j50d20p40_6.csv.out,15,50,20,40,6,49,0,10.86300015449524,0.812347692087629,0.7899999618530273,10.0730001926,49,0,4938.125,0.28310657596314126,777.2630000114441,4160.86199999,38,0,1.029,36,0,2.049,36,0,5.066,36,0,10.114,36,0,20.41
m15j50d20p40_7.csv.out,15,50,20,40,7,49,0,10.828999996185303,0.8130424011730898,0.7409999370574951,10.0880000591,49,0,2597.156000137329,0.26054421768654207,581.460000038147,2015.6960001,40,0,1.001,39,0,2.028,38,0,5.072,37,0,10.199,37,0,20.457
m15j50d20p40_8.csv.out,15,50,20,40,8,49,0,10.830000162124634,0.561076730520706,0.7480001449584961,10.0820000172,49,0,3178.2309999465942,0.9999999999979592,719.3400001525879,2458.89099979,41,0,1.007,40,0,2.033,38,0,5.067,38,0,10.081,38,0,20.385
m15j50d20p40_9.csv.out,15,50,20,40,9,49,0,10.829999923706055,0.6885540091595825,0.7420001029968262,10.0879998207,47,0,3076.143000125885,0.9999999999978723,871.6909999847412,2204.45200014,41,0,1.036,39,0,2.092,39,0,5.076,38,0,10.174,38,0,20.311
m25j30d20p20_0.csv.out,25,30,20,20,0,22,0,10.319999933242798,0.4545454545433795,0.2670001983642578,10.0529997349,18,1,1276.279000043869,0.0,88.29099988937378,1187.98800015,21,0,1.06,20,0,2.025,20,0,5.082,20,0,10.143,20,0,20.366
m25j30d20p20_1.csv.out,25,30,20,20,1,23,0,10.325999975204468,0.5652173913018902,0.2720000743865967,10.0539999008,18,1,740.4429998397827,0.0,85.21199989318848,655.230999947,22,0,0.996,22,0,1.992,21,0,5.061,20,0,10.171,20,0,20.286
m25j30d20p20_2.csv.out,25,30,20,20,2,20,0,10.309999942779541,0.549999999997132,0.26600003242492676,10.0439999104,18,1,345.89400005340576,0.0,92.46800017356873,253.42599988,20,0,1.005,20,0,2.019,20,0,5.096,19,0,10.28,19,0,20.26
m25j30d20p20_3.csv.out,25,30,20,20,3,19,0,10.299000024795532,0.42105263157673134,0.2590000629425049,10.0399999619,17,1,197.26600003242493,0.0,63.812999963760376,133.453000069,19,0,1.016,19,0,2.079,19,0,5.075,19,0,10.123,18,0,20.335
m25j30d20p20_4.csv.out,25,30,20,20,4,18,0,10.315999984741211,0.27777777777617263,0.26999998092651367,10.0460000038,17,0,1891.835000038147,0.09660341170695734,87.0569999217987,1804.77800012,20,0,1.037,18,0,2.076,18,0,5.107,18,0,10.151,17,0,20.462
m25j30d20p20_5.csv.out,25,30,20,20,5,20,0,10.310999870300293,0.34999999999824427,0.2709999084472656,10.0399999619,18,1,246.41100001335144,0.0,76.87600016593933,169.534999847,20,0,1.032,20,0,2.065,20,0,5.048,19,0,10.15,19,0,20.469
m25j30d20p20_6.csv.out,25,30,20,20,6,20,0,10.331000089645386,0.5499999999972499,0.2649998664855957,10.0660002232,17,1,657.5360000133514,0.0,71.31599998474121,586.220000029,19,0,1.05,19,0,2.031,19,0,5.047,19,0,10.183,19,0,20.373
m25j30d20p20_7.csv.out,25,30,20,20,7,21,0,10.35699987411499,0.4665224789382125,0.29199981689453125,10.0650000572,20,1,342.52699995040894,0.0,87.98699998855591,254.539999962,24,0,1.02,22,0,2.038,21,0,5.024,21,0,10.273,21,0,20.42
m25j30d20p20_8.csv.out,25,30,20,20,8,20,0,10.371999979019165,0.34999999999825077,0.32000017166137695,10.0519998074,17,1,1131.7720000743866,0.0,88.50500011444092,1043.26699996,20,0,1.036,20,0,2.041,19,0,5.073,19,0,10.183,19,0,20.42
m25j30d20p20_9.csv.out,25,30,20,20,9,19,0,10.327999830245972,0.42105263157672845,0.2869999408721924,10.0409998894,17,1,1750.4479999542236,0.0,75.11400008201599,1675.33399987,21,0,1.001,21,0,2.141,20,0,5.037,20,0,10.229,18,0,20.474
m25j30d20p40_0.csv.out,25,30,20,40,0,23,0,10.370000123977661,0.2608695652162565,0.315000057220459,10.0550000668,29,0,2884.677999973297,0.24997798972767782,310.07599997520447,2574.602,24,0,0.997,24,0,2.049,23,0,5.055,23,0,10.187,23,0,20.321
m25j30d20p40_1.csv.out,25,30,20,40,1,23,0,10.388999938964844,0.3478260869550084,0.34200000762939453,10.0469999313,28,0,2377.576000213623,0.9999999999964286,427.14200019836426,1950.43400002,24,0,1.027,24,0,2.079,22,0,5.037,22,0,10.101,22,0,20.451
m25j30d20p40_2.csv.out,25,30,20,40,2,23,0,10.389999866485596,0.26086956521625215,0.33299994468688965,10.0569999218,29,0,2619.7330000400543,0.9999999999965518,395.8770000934601,2223.85599995,24,0,0.998,24,0,2.024,23,0,5.045,23,0,10.376,23,0,20.337
m25j30d20p40_3.csv.out,25,30,20,40,3,21,0,10.311000108718872,0.4285714285693834,0.2690000534057617,10.0420000553,19,1,2367.963000059128,0.0,261.38100004196167,2106.58200002,21,0,0.994,21,0,2.035,21,0,5.151,20,0,10.272,20,0,20.256
m25j30d20p40_4.csv.out,25,30,20,40,4,23,0,10.299999952316284,0.3478260869550011,0.25100016593933105,10.0489997864,28,0,3745.7430000305176,0.21071428571353326,326.5050001144409,3419.23799992,25,0,1.143,25,0,2.087,24,0,5.106,24,0,10.178,23,0,20.264
