file,m,j,d,p,i,rpfguan_solution,rpfguan_optimal,rpfguan_time,rpfguangap,rpfguanbuild_time,rpfguan_solution_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedwgap,tbasedwbuild_time,tbasedw_solution_time
m25j15d15p05_9.csv.out,25,15,15,05,9,1,1,6.49399995803833,0.0,0.059999942779541016,6.43400001526,1,1,5.503000020980835,0.0,1.7330000400543213,3.76999998093
m25j15d15p10_0.csv.out,25,15,15,10,0,10,1,3.634000062942505,0.0,0.039999961853027344,3.59400010109,10,1,21.247999906539917,0.0,6.957000017166138,14.2909998894
m25j15d15p10_1.csv.out,25,15,15,10,1,8,1,0.9939999580383301,0.0,0.039999961853027344,0.953999996185,8,1,12.425999879837036,0.0,5.395999908447266,7.02999997139
m25j15d15p10_2.csv.out,25,15,15,10,2,6,1,0.46399998664855957,0.0,0.039999961853027344,0.424000024796,6,1,10.208999872207642,0.0,4.418999910354614,5.78999996185
m25j15d15p10_3.csv.out,25,15,15,10,3,6,1,0.35500001907348633,0.0,0.03800010681152344,0.316999912262,6,1,14.6010000705719,0.0,4.4049999713897705,10.1960000992
m25j15d15p10_4.csv.out,25,15,15,10,4,8,1,13.756999969482422,0.0,0.039999961853027344,13.7170000076,8,1,8.177000045776367,0.0,4.057999849319458,4.11900019646
m25j15d15p10_5.csv.out,25,15,15,10,5,7,1,0.18499994277954102,0.0,0.037999868392944336,0.147000074387,7,1,17.3030002117157,0.0,5.81000018119812,11.4930000305
m25j15d15p10_6.csv.out,25,15,15,10,6,6,1,0.34399986267089844,0.0,0.039999961853027344,0.303999900818,6,1,17.344000101089478,0.0,5.216000080108643,12.128000021
m25j15d15p10_7.csv.out,25,15,15,10,7,5,1,0.3710000514984131,0.0,0.04699993133544922,0.324000120163,5,1,11.764999866485596,0.0,5.083999872207642,6.68099999428
m25j15d15p10_8.csv.out,25,15,15,10,8,6,1,0.8829998970031738,0.0,0.03900003433227539,0.843999862671,6,1,9.191999912261963,0.0,4.196000099182129,4.99599981308
m25j15d15p10_9.csv.out,25,15,15,10,9,7,1,0.309999942779541,0.0,0.03899979591369629,0.271000146866,7,1,10.193000078201294,0.0,4.516000032424927,5.67700004578
